ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
SAP.DE,SAP,DE,Technology,143.4,2.24,167381270528,Large,22.97436,42.8,149.34,188.73,6,3,0.000,37
SIE.DE,Siemens,DE,Industrials,271.75,2.74,207275507712,Large,28.073347,56.9,255.81,241.48,2,7,0.000,60
ALV.DE,Allianz,DE,Financials,394,1.97,149400862720,Large,12.726978,63.0,381.83,369.61,0,7,0.000,65
DTE.DE,Deutsche Telekom,DE,Communication,27.91,-1.45,134980829184,Large,15.414365,45.0,28.53,29.18,7,0,0.000,39
AIR.DE,Airbus,DE,Industrials,186.16,3.85,146644844544,Large,29.42812,62.7,173.40,189.35,3,4,0.000,50
MBG.DE,Mercedes-Benz,DE,Consumer Cyclical,49.675,3.46,47550586880,Large,9.758349,49.6,50.66,54.93,6,0,0.000,40
BMW.DE,BMW,DE,Consumer Cyclical,69.58,3.85,42243985408,Large,6.2180524,38.1,77.04,83.94,6,0,0.000,39
VOW3.DE,Volkswagen,DE,Consumer Cyclical,91.5,3.48,45898592256,Large,7.498771,58.9,88.53,95.13,5,0,0.000,45
BAS.DE,BASF,DE,Materials,49.16,-0.69,43473428480,Large,28.917646,39.8,52.15,46.99,2,2,0.000,50
MUV2.DE,Munich Re,DE,Financials,462,0.68,59105595392,Large,8.84527,43.8,501.70,528.27,4,2,0.000,46
IFX.DE,Infineon Technologies,DE,Technology,80.33,0.34,104479776768,Large,98.04878,61.8,62.74,43.70,2,5,0.000,54
DB1.DE,Deutsche Boerse,DE,Financials,248.4,-0.44,45235113984,Large,22.119324,48.7,253.65,231.97,0,6,0.000,60
ADS.DE,Adidas,DE,Consumer Cyclical,176.75,0.23,31346423808,Large,22.895079,74.5,150.33,159.54,4,4,0.000,53
DHL.DE,DHL Group,DE,Industrials,52.46,1.43,58715500544,Large,16.977346,63.4,49.07,45.24,2,6,0.000,61
RWE.DE,RWE,DE,Utilities,56.46,-1.74,0,Small,17.319017,48.9,57.77,48.94,0,6,0.000,63
HEN3.DE,Henkel,DE,Consumer Defensive,69.62,0.26,28177973248,Large,14.146341,65.6,65.50,70.54,6,2,0.000,45
DTG.DE,Daimler Truck,DE,Industrials,43.26,3.39,33065216000,Large,27.554138,59.1,42.05,39.43,0,6,0.000,60
FRE.DE,Fresenius,DE,Healthcare,38.82,3.05,21864869888,Large,14.485074,53.3,40.11,46.01,5,2,0.000,42
SHL.DE,Siemens Healthineers,DE,Healthcare,35.23,1.73,39429378048,Large,18.640211,53.7,35.37,41.80,4,5,0.000,48
HNR1.DE,Hannover Re,DE,Financials,229.2,0.44,27640862720,Large,9.630252,38.7,250.44,251.96,5,2,0.000,45
VNA.DE,Vonovia,DE,Real Estate,20.95,2.75,17774508032,Large,4.8607893,48.0,22.07,24.68,5,2,0.000,46
MTX.DE,MTU Aero Engines,DE,Industrials,328,5.13,17656690688,Large,17.72973,64.0,304.95,350.18,3,5,0.000,52
SY1.DE,Symrise,DE,Materials,82.66,0.56,11553557504,Large,46.438206,64.5,76.22,74.29,3,5,0.000,50
BEI.DE,Beiersdorf,DE,Consumer Defensive,71.16,0.88,15550151680,Large,16.74353,51.2,72.13,87.56,4,2,0.000,44
ENR.DE,Siemens Energy,DE,Industrials,157.44,2.51,133957599232,Large,62.22925,46.1,168.66,134.80,2,2,0.000,42
CBK.DE,Commerzbank,DE,Financials,36.45,-1.03,39968284672,Large,16.797235,51.0,35.74,33.74,2,5,0.000,59
CON.DE,Continental,DE,Consumer Cyclical,74.94,3.65,14992448512,Large,,67.8,67.34,64.66,3,8,0.000,59
MRK.DE,Merck KGaA,DE,Healthcare,133.75,0.38,58151542784,Large,22.902397,61.1,120.88,117.79,2,6,0.000,60
PAH3.DE,Porsche Auto Holding,DE,Consumer Cyclical,31.85,3.27,9750999040,Mid,3.4721918,53.6,31.81,34.80,5,0,0.000,44
QIA.DE,Qiagen,DE,Healthcare,31.965,-0.05,6592781312,Mid,18.9142,56.0,31.58,38.77,3,2,0.000,44
ZAL.DE,Zalando,DE,Consumer Cyclical,24.4,-0.93,6298973184,Mid,55.454544,63.4,21.98,23.34,3,2,0.000,39
EOAN.DE,E.ON,DE,Utilities,18.185,-1.22,47518822400,Large,13.88168,48.1,18.59,17.24,0,6,0.000,62
P911.DE,Porsche AG,DE,Consumer Cyclical,50.36,2.57,45877960704,Large,107.14894,68.8,44.31,43.22,0,8,0.000,59
RHM.DE,Rheinmetall,DE,Industrials,1165.8,-3.30,54295916544,Large,51.46008,39.0,1314.25,1609.03,5,4,0.000,32
1COV.DE,Covestro,DE,Materials,59.98,0.00,11320645632,Large,,,,,0,1,0.000,52
DBK.DE,Deutsche Bank,DE,Financials,29.92,4.11,57232293888,Large,9.466772,65.8,27.53,29.73,3,3,0.000,55
HEI.DE,HeidelbergCement,DE,Materials,189.6,4.09,33438818304,Large,16.974037,59.2,182.87,198.95,3,2,0.000,49
FME.DE,Fresenius Medical Care,DE,Healthcare,40.61,2.37,10906409984,Large,12.418961,66.7,38.22,40.52,6,3,0.000,47
BNR.DE,Brenntag,DE,Industrials,55.9,-0.36,8071142912,Mid,35.379745,41.6,58.74,52.67,2,5,0.000,54
