ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
MC.PA,LVMH,FR,Consumer Cyclical,482.45,0.71,238367555584,Large,22.090202,55.9,470.47,542.55,3,4,0.000,49
OR.PA,L'Oreal,FR,Consumer Defensive,378.45,0.79,202010918912,Large,33.052402,58.3,363.20,372.53,3,2,0.000,48
SAN.PA,Sanofi,FR,Healthcare,76.67,-1.64,91765129216,Large,19.36111,51.8,77.94,81.25,4,2,0.000,48
AI.PA,Air Liquide,FR,Materials,165.38,-0.81,104982560768,Large,27.155994,37.0,179.06,170.83,2,2,0.000,50
TTE.PA,TotalEnergies,FR,Energy,77.34,-0.04,171786977280,Large,13.334481,50.3,77.69,62.87,2,5,0.000,64
SU.PA,Schneider Electric,FR,Industrials,270.5,0.54,152196628480,Large,33.98241,49.6,264.99,246.30,2,3,0.000,52
BNP.PA,BNP Paribas,FR,Financials,93.15,-0.53,102614097920,Large,8.787736,55.5,89.95,82.62,0,6,0.000,68
RMS.PA,Hermes,FR,Consumer Cyclical,1643.5,1.51,172242534400,Large,38.15881,52.9,1642.21,1972.01,6,4,0.000,39
DG.PA,Vinci,FR,Industrials,123.8,-0.36,68203159552,Large,14.3121395,45.0,128.49,123.66,0,6,0.000,63
KER.PA,Kering,FR,Consumer Cyclical,249,-0.18,30532118528,Large,,51.7,248.60,274.27,3,4,0.000,48
ACA.PA,Credit Agricole,FR,Financials,16.5,-0.18,49909563392,Large,7.7464786,43.6,16.87,16.90,6,0,0.000,45
CS.PA,AXA,FR,Financials,39.7,0.46,80758677504,Large,11.608187,47.0,40.41,39.56,2,4,0.000,59
CAP.PA,Capgemini,FR,Technology,102.4,0.59,17115179008,Large,11.215773,49.9,102.49,119.79,4,2,0.000,45
RI.PA,Pernod Ricard,FR,Consumer Defensive,62.1,0.00,15637357568,Large,11.089286,44.3,63.94,76.54,6,0,0.000,40
DSY.PA,Dassault Systemes,FR,Technology,19.895,0.91,26127943680,Large,21.625,52.8,18.95,22.56,5,1,0.000,43
SGO.PA,Saint-Gobain,FR,Industrials,74.4,-3.70,36215590912,Large,12.871972,43.4,75.98,83.32,6,2,0.000,47
ORA.PA,Orange,FR,Communication,17.8,2.09,47335235584,Large,148.33333,47.6,17.88,15.60,2,2,0.000,47
BN.PA,Danone,FR,Consumer Defensive,64.18,-0.37,41186533376,Large,22.758865,52.3,65.32,71.86,4,2,0.000,44
EN.PA,Bouygues,FR,Industrials,49.2,-1.91,18972782592,Large,15.56962,43.1,50.74,45.17,2,4,0.000,60
GLE.PA,Societe Generale,FR,Financials,69.8,-0.65,50956447744,Large,9.914773,50.6,68.96,64.18,3,5,0.000,60
VIE.PA,Veolia,FR,Utilities,34.67,-0.60,25385953280,Large,20.394115,49.6,34.68,31.36,2,4,0.000,57
VIV.PA,Vivendi,FR,Communication,2.198,0.09,2189585920,Mid,109.9,47.2,2.12,2.46,5,5,0.000,40
LR.PA,Legrand,FR,Industrials,140.1,-2.71,36621459456,Large,28.8866,35.5,147.93,139.27,2,2,0.000,53
ML.PA,Michelin,FR,Consumer Cyclical,31.79,-0.28,0,Small,3.1044924,54.5,31.10,30.26,2,7,0.000,66
PUB.PA,Publicis,FR,Communication,87.98,0.62,21860720640,Large,13.493866,66.4,79.18,81.36,3,3,0.000,55
TEP.PA,Teleperformance,FR,Industrials,58.66,-0.98,3410736640,Mid,6.9833336,41.5,59.38,59.29,2,2,0.000,53
SAF.PA,Safran,FR,Industrials,294.5,-1.34,122348666880,Large,17.162004,51.8,289.18,299.99,3,2,0.000,49
EL.PA,EssilorLuxottica,FR,Healthcare,173.15,-0.52,79685656576,Large,34.769073,43.9,184.27,248.55,5,4,0.000,38
ERF.PA,Eurofins Scientific,FR,Healthcare,64.88,-0.06,11334945792,Large,25.443136,62.0,62.72,63.23,5,2,0.000,47
