ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
0700.HK,Tencent,HK,Technology,420.2,2.04,3785430138880,Large,15.071737,40.0,459.88,560.58,8,2,0.000,37
9988.HK,Alibaba Group,HK,Technology,93,3.91,1785986023424,Large,14.112291,26.6,122.88,144.13,8,7,0.000,44
0939.HK,China Construction Bank,HK,Financials,8.24,-0.24,2155587043328,Large,5.4933333,33.7,8.72,8.08,2,2,0.000,57
1398.HK,ICBC,HK,Financials,6.62,0.00,2359409508352,Large,5.6581197,38.6,6.94,6.43,2,2,0.000,56
0941.HK,China Mobile,HK,Communication,77.25,-0.19,1672045920256,Large,10.640495,15.2,83.46,83.08,3,7,0.000,61
2318.HK,Ping An Insurance,HK,Financials,51.9,2.67,939786633216,Large,6.041909,29.6,59.61,61.15,6,4,0.000,49
3690.HK,Meituan,HK,Technology,67.65,5.29,417697038336,Large,,35.9,79.63,91.40,7,3,0.000,35
0005.HK,HSBC Holdings,HK,Financials,147.6,-0.07,2531075817472,Large,15.553215,57.0,143.03,125.36,2,7,0.000,66
1299.HK,AIA Group,HK,Financials,72.2,1.98,744032894976,Large,15.627706,37.1,80.85,80.59,1,4,0.000,53
9618.HK,JD.com,HK,Technology,99,3.13,270432485376,Large,18.539326,31.1,116.04,117.23,7,2,0.000,42
9999.HK,NetEase,HK,Technology,199.4,6.35,638793285632,Large,16.344261,60.0,185.89,203.62,5,2,0.000,53
0388.HK,Hong Kong Exchanges,HK,Financials,367,1.33,463899426816,Large,24.33687,33.4,401.66,415.72,7,2,0.000,41
2020.HK,ANTA Sports,HK,Consumer Cyclical,71.25,3.64,197398102016,Large,12.412892,42.9,76.87,81.99,6,0,0.000,44
0027.HK,Galaxy Entertainment,HK,Consumer Cyclical,29.82,2.12,130588966912,Large,11.9759035,39.1,32.14,37.65,8,0,0.000,38
1810.HK,Xiaomi,HK,Technology,21.86,2.05,562666930176,Large,11.880435,22.4,28.69,38.16,8,7,0.000,44
0016.HK,Sun Hung Kai Properties,HK,Real Estate,113.8,-0.35,329767387136,Large,14.993412,36.0,129.96,114.93,0,4,0.000,60
0002.HK,CLP Holdings,HK,Utilities,73.95,0.27,186831028224,Large,17.819277,49.1,74.85,71.24,0,5,0.000,61
0003.HK,Hong Kong & China Gas,HK,Utilities,6.7,0.60,125021126656,Large,22.333332,34.5,7.09,7.19,5,2,0.000,46
0066.HK,MTR Corporation,HK,Industrials,31.1,0.52,193261010944,Large,13.122364,39.1,32.83,31.39,0,6,0.000,62
0883.HK,CNOOC,HK,Energy,21.08,1.05,1001931472896,Large,7.0266666,21.6,26.10,23.48,3,9,0.000,62
1038.HK,CK Infrastructure,HK,Utilities,60.25,0.00,151806558208,Large,17.463768,52.7,62.39,58.99,2,4,0.000,55
0006.HK,Power Assets Holdings,HK,Utilities,57.65,0.17,122858217472,Large,19.675768,43.7,61.27,57.04,0,4,0.000,58
0012.HK,Henderson Land,HK,Real Estate,25.5,1.35,123455365120,Large,22.368422,29.1,30.03,29.83,4,6,0.000,50
0017.HK,New World Development,HK,Real Estate,6.55,-3.39,16483730432,Large,,24.9,8.18,8.32,9,7,0.000,49
1113.HK,CK Asset Holdings,HK,Real Estate,44.46,0.86,155600142336,Large,14.341935,37.4,47.97,43.36,2,6,0.000,62
0288.HK,WH Group,HK,Consumer Defensive,8.49,-0.12,108928557056,Large,8.84375,32.6,9.38,8.98,1,6,0.000,60
2269.HK,WuXi Biologics,HK,Healthcare,35.28,6.78,144947740672,Large,24.67133,64.8,32.98,35.26,3,3,0.000,53
9626.HK,Bilibili,HK,Communication,131.7,5.61,54891454464,Large,34.11917,41.0,154.13,198.54,5,6,0.000,43
0241.HK,Alibaba Health,HK,Healthcare,3.18,3.58,51276460032,Large,22.714287,29.3,3.97,5.36,6,4,0.000,39
