ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
RELIANCE.NS,Reliance Industries,IN,Energy,1288.6,-2.61,17437943660544,Large,23.31042,48.5,1314.92,1413.53,5,4,0.000,48
HDFCBANK.NS,HDFC Bank,IN,Financials,753.15,-3.14,11599429500928,Large,16.792643,37.9,780.08,881.39,7,0,0.000,38
ICICIBANK.NS,ICICI Bank,IN,Financials,1440.7,-1.34,10334539612160,Large,18.613693,73.9,1330.75,1345.85,3,3,0.000,54
SBIN.NS,State Bank of India,IN,Financials,1025,-3.30,9461383036928,Large,11.2415,55.0,1005.61,1019.67,3,4,0.000,56
KOTAKBANK.NS,Kotak Mahindra Bank,IN,Financials,381.15,-0.24,3791095070720,Large,18.665524,49.2,389.00,404.97,6,0,0.000,41
AXISBANK.NS,Axis Bank,IN,Financials,1238.4,-1.40,3852765495296,Large,13.9412365,34.7,1310.65,1284.71,2,2,0.000,53
BAJFINANCE.NS,Bajaj Finance,IN,Financials,1060.3,-0.35,6592814645248,Large,34.798164,70.8,957.90,969.81,3,4,0.000,52
TCS.NS,Tata Consultancy Services,IN,Technology,2208.3,-1.90,7989822488576,Large,16.035872,56.2,2189.42,2709.87,5,2,0.000,41
INFY.NS,Infosys,IN,Technology,1052.1,-3.22,4259876962304,Large,13.940639,47.5,1115.09,1365.63,4,2,0.000,43
HCLTECH.NS,HCL Technologies,IN,Technology,1237.3,1.31,3347845218304,Large,19.269585,63.5,1150.99,1415.76,3,2,0.000,45
WIPRO.NS,Wipro,IN,Technology,174.44,-1.10,1725601153024,Large,13.844444,43.4,185.11,218.98,5,4,0.000,45
TECHM.NS,Tech Mahindra,IN,Technology,1560.6,-1.00,1529520324608,Large,26.976664,67.0,1455.45,1487.50,5,3,0.000,46
HINDUNILVR.NS,Hindustan Unilever,IN,Consumer Defensive,2154.6,0.70,5062429507584,Large,47.6576,47.5,2168.29,2297.79,6,0,0.000,31
ITC.NS,ITC,IN,Consumer Defensive,280.8,-0.67,3518274469888,Large,16.997578,42.5,289.54,336.65,7,0,0.000,40
NESTLEIND.NS,Nestle India,IN,Consumer Defensive,1493.6,3.27,2880130252800,Large,82.292015,57.3,1421.05,1315.26,2,5,0.000,55
TITAN.NS,Titan Company,IN,Consumer Cyclical,4711.6,1.47,4179402424320,Large,82.37063,71.3,4307.30,4106.61,4,7,0.000,49
MARUTI.NS,Maruti Suzuki,IN,Consumer Cyclical,13545,0.23,4258582757376,Large,29.042841,47.5,13470.82,14667.69,5,1,0.000,40
M&M.NS,Mahindra & Mahindra,IN,Consumer Cyclical,3175.3,0.31,3812780408832,Large,20.879143,57.2,3097.54,3369.70,3,4,0.000,52
LT.NS,Larsen & Toubro,IN,Industrials,3817.4,-0.56,5251708485632,Large,32.64409,38.2,4002.33,3965.67,2,2,0.000,47
ADANIENT.NS,Adani Enterprises,IN,Industrials,3147.7,-1.12,4479093571584,Large,42.8142,61.1,2981.72,2428.16,2,7,0.000,63
ADANIPORTS.NS,Adani Ports,IN,Industrials,1819.4,-1.33,4191823069184,Large,31.28267,56.2,1812.44,1566.56,2,5,0.000,60
NTPC.NS,NTPC,IN,Utilities,350.5,0.94,3398681755648,Large,11.518238,43.4,364.92,357.45,0,4,0.000,58
POWERGRID.NS,Power Grid Corp,IN,Utilities,289.3,0.21,2690664628224,Large,14.371585,50.5,289.12,286.33,0,7,0.000,64
ONGC.NS,ONGC,IN,Energy,251.9,0.93,3168972308480,Large,7.6472373,53.1,258.58,259.47,4,2,0.000,50
COALINDIA.NS,Coal India,IN,Energy,428.4,-0.23,2640112779264,Large,8.489893,41.4,448.53,425.57,0,6,0.000,65
SUNPHARMA.NS,Sun Pharmaceutical,IN,Healthcare,1943,-0.68,4661907554304,Large,40.589096,68.2,1860.57,1763.38,0,7,0.000,63
DRREDDY.NS,Dr. Reddy's Labs,IN,Healthcare,1182.8,-3.29,984929665024,Large,23.020632,32.2,1296.00,1266.30,3,2,0.000,49
