ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
7203.T,Toyota Motor,JP,Consumer Cyclical,2772,0.14,32823398367232,Large,9.372148,43.0,2955.29,3190.36,5,4,0.000,50
6758.T,Sony Group,JP,Technology,3299,3.13,19430671122432,Large,19.239517,47.8,3383.58,3790.25,6,1,0.000,46
6861.T,Keyence,JP,Technology,78200,1.43,18965466185728,Large,42.016808,56.4,74740.00,61974.75,0,8,0.000,67
8306.T,Mitsubishi UFJ Financial,JP,Financials,3211,-1.05,36210038800384,Large,15.1283865,53.8,3038.02,2680.84,2,4,0.000,62
6902.T,Denso,JP,Consumer Cyclical,1888,0.69,5082577371136,Large,7.3206673,50.0,1889.25,2061.93,7,1,0.000,48
9984.T,SoftBank Group,JP,Technology,5894,-5.33,33589454438400,Large,7.1377535,41.7,6376.16,4960.01,2,3,0.000,64
9432.T,NTT,JP,Communication,146,1.18,11887848718336,Large,11.578113,45.9,149.54,154.25,7,0,0.000,42
6501.T,Hitachi,JP,Technology,4486,0.18,20172618334208,Large,25.426516,35.8,4939.98,4828.55,2,4,0.000,51
7741.T,HOYA,JP,Healthcare,25805,0.90,8632146591744,Large,34.67342,42.6,27298.60,25355.55,2,2,0.000,49
4063.T,Shin-Etsu Chemical,JP,Materials,6942,1.57,12908987678720,Large,27.524681,44.2,7173.90,5722.80,2,3,0.000,57
8035.T,Tokyo Electron,JP,Technology,74700,2.44,33977668730880,Large,58.139538,63.3,56355.60,40180.47,4,5,0.000,53
6098.T,Recruit Holdings,JP,Industrials,11295,2.31,15724209766400,Large,32.46716,64.3,9438.80,8194.65,2,8,0.000,69
9433.T,KDDI,JP,Communication,2717,1.34,10343832092672,Large,14.794446,53.6,2657.94,2619.22,2,8,0.000,67
4502.T,Takeda Pharmaceutical,JP,Healthcare,5176,1.75,8177429512192,Large,,56.0,5159.88,4981.87,0,6,0.000,61
6594.T,Nidec,JP,Industrials,2610,2.63,2991868870656,Large,24.911713,46.5,2620.62,2367.66,2,5,0.000,61
7267.T,Honda Motor,JP,Consumer Cyclical,1476,1.83,5745448845312,Large,,61.6,1373.83,1493.03,8,2,0.000,42
7974.T,Nintendo,JP,Communication,6935,5.25,7994866663424,Large,19.032852,43.4,7420.54,10237.56,7,5,0.000,44
8058.T,Mitsubishi Corp,JP,Industrials,4414,0.25,16161854980096,Large,21.05213,30.0,4986.72,4366.53,3,4,0.000,55
8316.T,Sumitomo Mitsui Financial,JP,Financials,6344,-0.74,24183333453824,Large,15.408155,53.9,5960.76,5151.42,2,4,0.000,61
8766.T,Tokio Marine,JP,Financials,7248,5.00,13855949324288,Large,25.97384,51.7,7236.58,6413.66,2,4,0.000,57
4568.T,Daiichi Sankyo,JP,Healthcare,2614,3.10,4756573519872,Large,18.622213,52.6,2632.68,3160.01,4,2,0.000,45
6367.T,Daikin Industries,JP,Industrials,24460,1.70,6808101453824,Large,26.041777,61.7,23314.10,20168.15,0,7,0.000,69
3382.T,Seven & i Holdings,JP,Consumer Defensive,1953.5,2.63,4515989291008,Large,16.447756,57.0,1909.05,2058.18,3,5,0.000,54
6954.T,Fanuc,JP,Industrials,7051,0.36,6579700105216,Large,39.525757,43.9,7352.50,6000.77,2,5,0.000,54
4519.T,Chugai Pharmaceutical,JP,Healthcare,7574,1.88,12465009065984,Large,28.735111,47.8,7873.50,8074.35,4,4,0.000,48
6981.T,Murata Manufacturing,JP,Technology,10740,-0.28,19549921476608,Large,84.03098,57.1,7850.60,4402.37,2,4,0.000,52
7751.T,Canon,JP,Technology,4135,-2.89,3532395905024,Large,11.2612,39.0,4256.10,4471.19,7,0,0.000,44
8801.T,Mitsui Fudosan,JP,Real Estate,1520.5,2.74,4092100083712,Large,15.06042,49.9,1578.01,1717.80,4,2,0.000,48
4661.T,Oriental Land,JP,Consumer Cyclical,2498.5,4.17,4096832045056,Large,33.554928,71.5,2304.03,2856.17,10,4,0.000,38
5108.T,Bridgestone,JP,Consumer Cyclical,3424,-1.10,4279981572096,Large,29.068682,51.0,3379.74,3468.45,5,2,0.000,47
6762.T,TDK,JP,Technology,3593,0.50,6820067803136,Large,34.89705,48.0,3340.43,2507.75,2,4,0.000,60
6857.T,Advantest,JP,Technology,31950,-1.51,23157796765696,Large,62.111195,57.6,28325.20,22605.08,0,6,0.000,60
9983.T,Fast Retailing (Uniqlo),JP,Consumer Cyclical,84380,0.37,25891136602112,Large,54.253548,65.2,76930.80,62727.05,0,8,0.000,66
7733.T,Olympus,JP,Healthcare,1724,2.38,1831160774656,Large,28.169935,52.2,1698.60,1787.11,5,0,0.000,42
8031.T,Mitsui & Co,JP,Industrials,4513,0.11,12790691528704,Large,15.503797,23.8,5341.70,4880.59,3,9,0.000,59
2802.T,Ajinomoto,JP,Consumer Defensive,5816,1.66,5559309828096,Large,42.007946,60.0,5169.68,4318.35,0,6,0.000,65
6273.T,SMC Corp,JP,Industrials,70450,-1.65,4442961739776,Large,27.100218,52.1,70486.40,61026.90,0,4,0.000,60
4911.T,Shiseido,JP,Consumer Defensive,2630.5,2.21,1051196719104,Large,,49.2,2837.10,2723.38,1,6,0.000,56
6971.T,Kyocera,JP,Technology,3509,2.87,4622776795136,Large,34.13092,51.7,3196.51,2497.64,2,8,0.000,71
8002.T,Marubeni,JP,Industrials,4713,0.45,7705770590208,Large,14.204341,36.6,5326.24,4799.26,1,6,0.000,60
