ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
SHEL.L,Shell,UK,Energy,32.505,-0.81,179929628672,Large,13.4917,59.7,31.22,30.10,0,5,0.000,62
AZN.L,AstraZeneca,UK,Healthcare,127.38000000000001,-1.16,197612748800,Large,25.53507,42.5,134.69,138.14,6,0,0.000,37
HSBA.L,HSBC,UK,Financials,15.634000000000002,0.79,268163710976,Large,17.184616,71.9,14.30,12.57,3,7,0.000,62
ULVR.L,Unilever,UK,Consumer Defensive,49.52,7.02,106691026944,Large,22.420815,70.5,44.46,46.94,7,3,0.000,47
BP.L,BP,UK,Energy,5.298,-0.84,81858240512,Large,35.319996,56.5,5.15,4.93,0,5,0.000,54
GSK.L,GSK,UK,Healthcare,19.59,-0.10,78509670400,Large,13.5172415,53.5,19.35,19.25,0,5,0.000,61
RIO.L,Rio Tinto,UK,Materials,68.1,-0.32,110747779072,Large,15,43.0,73.21,66.40,0,6,0.000,60
LSEG.L,London Stock Exchange,UK,Financials,90.12,0.72,43870588928,Large,38.01688,55.9,88.43,87.96,0,5,0.000,52
DGE.L,Diageo,UK,Consumer Defensive,16.36,2.83,36377845760,Large,20.19753,63.6,15.40,16.09,3,2,0.000,50
REL.L,RELX,UK,Industrials,27.69,3.24,48367120384,Large,22.152,73.7,24.60,27.22,10,2,0.000,37
BATS.L,BAT,UK,Consumer Defensive,46.74,2.34,100866015232,Large,13.395415,56.3,45.88,43.60,0,7,0.000,64
NG.L,National Grid,UK,Utilities,12.235,0.08,61502803968,Large,18.537878,47.2,12.30,12.29,2,4,0.000,53
VOD.L,Vodafone,UK,Communication,1.208,0.54,27817289728,Large,,65.4,1.10,1.05,0,5,0.000,55
LLOY.L,Lloyds Banking,UK,Financials,1.1385,-0.74,66095140864,Large,14.23125,58.4,1.07,0.99,2,7,0.000,62
BARC.L,Barclays,UK,Financials,5.055,-4.69,0,Small,11.748837,47.4,4.91,4.49,2,7,0.000,64
NWG.L,NatWest,UK,Financials,6.73,-1.15,53558095872,Large,9.620001,55.9,6.37,6.12,2,7,0.000,63
STAN.L,Standard Chartered,UK,Financials,21.30002,-0.28,46340100096,Large,13.748387,57.2,20.35,17.90,2,6,0.000,62
RKT.L,Reckitt Benckiser,UK,Consumer Defensive,51.76378,2.99,32872845312,Large,10.58564,62.3,48.13,55.73,5,3,0.000,49
EXPN.L,Experian,UK,Industrials,28.48449,1.59,25181605888,Large,22.792,65.2,26.18,29.13,3,3,0.000,50
III.L,3i Group,UK,Financials,28.7,2.43,28810739712,Large,5.328386,71.9,24.22,30.21,10,2,0.000,41
CPG.L,Compass Group,UK,Consumer Cyclical,31.81,2.55,54052958208,Large,26.057377,51.7,32.07,26.38,2,2,0.000,55
AAL.L,Anglo American,UK,Materials,36.34453,-0.18,38948585472,Large,,49.8,37.69,33.69,0,4,0.000,53
BKG.L,Berkeley Group,UK,Consumer Cyclical,34.88,0.93,3198888960,Mid,10.537765,55.4,34.25,37.22,3,4,0.000,53
SMT.L,Scottish Mortgage,UK,Financials,13.24,-0.38,14228067328,Large,4.816364,34.2,14.45,12.72,2,4,0.000,57
